FFA	LFA	CAF	JIF	HDI	Continent
FFA_2	LFA_2	CAF_2	JIF2	HDI4	AFRICA
FFA_2	LFA_1	CAF_1	JIF2	HDI4	AFRICA
FFA_2	LFA_1	CAF_1	JIF4	HDI3	AFRICA
FFA_2	LFA_1	CAF_2	JIF4	HDI4	AFRICA
FFA_2	LFA_1	CAF_2	JIF2	HDI4	AFRICA
FFA_1	LFA_2	CAF_1	JIF3	HDI4	AFRICA
FFA_1	LFA_1	CAF_1	JIF4	HDI3	AFRICA
FFA_2	LFA_1	CAF_1	JIF1	HDI4	AFRICA
FFA_1	LFA_2	CAF_1	JIF1	HDI1	AFRICA
FFA_2	LFA_2	CAF_2	JIF2	HDI3	AFRICA
FFA_1	LFA_2	CAF_2	JIF1	HDI4	AFRICA
FFA_1	LFA_1	CAF_1	JIF1	HDI4	AFRICA
FFA_2	LFA_2	CAF_2	JIF3	HDI4	AFRICA
FFA_1	LFA_2	CAF_1	JIF1	HDI1	AFRICA
FFA_2	LFA_1	CAF_2	JIF3	HDI3	AFRICA
FFA_1	LFA_2	CAF_1	JIF3	HDI1	AFRICA
FFA_1	LFA_1	CAF_1	JIF1	HDI4	AFRICA
FFA_2	LFA_2	CAF_2	JIF1	HDI3	AFRICA
FFA_2	LFA_2	CAF_2	JIF3	HDI4	AFRICA
FFA_1	LFA_2	CAF_1	JIF1	HDI3	AFRICA
FFA_1	LFA_2	CAF_2	JIF3	HDI1	AFRICA
FFA_2	LFA_1	CAF_2	JIF4	HDI4	AFRICA
FFA_1	LFA_2	CAF_2	JIF2	HDI1	AFRICA
FFA_1	LFA_1	CAF_2	JIF3	HDI4	AFRICA
FFA_1	LFA_2	CAF_1	JIF1	HDI1	EUROPE
FFA_1	LFA_1	CAF_1	JIF1	HDI1	EUROPE
FFA_1	LFA_2	CAF_1	JIF3	HDI1	EUROPE
FFA_2	LFA_1	CAF_2	JIF1	HDI1	EUROPE
FFA_1	LFA_2	CAF_1	JIF1	HDI1	EUROPE
FFA_1	LFA_2	CAF_2	JIF3	HDI1	EUROPE
FFA_1	LFA_1	CAF_1	JIF1	HDI1	EUROPE
FFA_1	LFA_1	CAF_1	JIF4	HDI1	EUROPE
FFA_1	LFA_1	CAF_1	JIF1	HDI1	EUROPE
FFA_1	LFA_1	CAF_1	JIF2	HDI1	EUROPE
FFA_1	LFA_1	CAF_1	JIF1	HDI1	EUROPE
FFA_1	LFA_2	CAF_1	JIF3	HDI1	EUROPE
FFA_1	LFA_2	CAF_1	JIF2	HDI1	EUROPE
FFA_1	LFA_1	CAF_1	JIF1	HDI1	EUROPE
FFA_2	LFA_1	CAF_2	JIF2	HDI1	EUROPE
FFA_1	LFA_2	CAF_2	JIF3	HDI1	EUROPE
FFA_1	LFA_1	CAF_1	JIF4	HDI1	EUROPE
FFA_1	LFA_1	CAF_1	JIF4	HDI1	EUROPE
FFA_2	LFA_2	CAF_2	JIF2	HDI1	EUROPE
FFA_1	LFA_1	CAF_2	JIF1	HDI1	EUROPE
FFA_2	LFA_1	CAF_2	JIF4	HDI1	EUROPE
FFA_1	LFA_2	CAF_1	JIF3	HDI1	EUROPE
FFA_2	LFA_2	CAF_2	JIF4	HDI2	SOUTH-AMERICA
FFA_1	LFA_1	CAF_1	JIF3	HDI2	SOUTH-AMERICA
FFA_2	LFA_1	CAF_2	JIF4	HDI2	SOUTH-AMERICA
FFA_1	LFA_1	CAF_1	JIF3	HDI1	SOUTH-AMERICA
FFA_2	LFA_2	CAF_2	JIF1	HDI2	SOUTH-AMERICA
FFA_1	LFA_1	CAF_1	JIF3	HDI1	SOUTH-AMERICA
FFA_2	LFA_2	CAF_2	JIF4	HDI2	SOUTH-AMERICA
FFA_1	LFA_1	CAF_1	JIF4	HDI2	SOUTH-AMERICA
FFA_1	LFA_2	CAF_1	JIF1	HDI2	SOUTH-AMERICA
FFA_1	LFA_1	CAF_1	JIF1	HDI2	SOUTH-AMERICA
FFA_1	LFA_1	CAF_1	JIF2	HDI2	SOUTH-AMERICA
FFA_1	LFA_1	CAF_1	JIF4	HDI1	SOUTH-AMERICA
FFA_1	LFA_1	CAF_1	JIF2	HDI2	SOUTH-AMERICA
FFA_1	LFA_1	CAF_2	JIF2	HDI2	SOUTH-AMERICA
FFA_2	LFA_1	CAF_2	JIF1	HDI2	SOUTH-AMERICA
FFA_1	LFA_1	CAF_1	JIF4	HDI3	ASIA
FFA_2	LFA_2	CAF_2	JIF1	HDI2	ASIA
FFA_1	LFA_1	CAF_1	JIF3	HDI2	ASIA
FFA_1	LFA_1	CAF_1	JIF3	HDI1	ASIA
FFA_2	LFA_2	CAF_2	JIF1	HDI2	ASIA
FFA_2	LFA_1	CAF_2	JIF3	HDI2	ASIA
FFA_1	LFA_1	CAF_2	JIF1	HDI2	ASIA
FFA_1	LFA_2	CAF_1	JIF2	HDI3	ASIA
FFA_1	LFA_1	CAF_1	JIF3	HDI1	ASIA
FFA_1	LFA_2	CAF_2	JIF1	HDI3	ASIA
FFA_1	LFA_2	CAF_1	JIF2	HDI2	ASIA
FFA_1	LFA_1	CAF_1	JIF4	HDI1	ASIA
FFA_2	LFA_1	CAF_2	JIF2	HDI3	ASIA
FFA_2	LFA_1	CAF_1	JIF3	HDI2	ASIA
FFA_2	LFA_2	CAF_2	JIF4	HDI3	ASIA
FFA_2	LFA_2	CAF_2	JIF1	HDI2	ASIA
FFA_1	LFA_1	CAF_1	JIF3	HDI1	ASIA
FFA_2	LFA_1	CAF_2	JIF2	HDI1	ASIA
FFA_2	LFA_2	CAF_2	JIF1	HDI1	ASIA
FFA_1	LFA_1	CAF_1	JIF4	HDI2	ASIA
FFA_2	LFA_2	CAF_2	JIF2	HDI4	ASIA
FFA_2	LFA_2	CAF_2	JIF1	HDI2	ASIA
FFA_1	LFA_1	CAF_1	JIF4	HDI1	ASIA
FFA_2	LFA_1	CAF_2	JIF2	HDI1	ASIA
FFA_2	LFA_2	CAF_2	JIF1	HDI3	ASIA
FFA_2	LFA_2	CAF_2	JIF4	HDI2	ASIA
FFA_1	LFA_1	CAF_1	JIF4	HDI2	ASIA
FFA_2	LFA_1	CAF_2	JIF3	HDI1	ASIA
FFA_1	LFA_1	CAF_1	JIF2	HDI3	ASIA
FFA_1	LFA_2	CAF_2	JIF1	HDI2	ASIA
FFA_1	LFA_2	CAF_1	JIF3	HDI1	ASIA
FFA_1	LFA_2	CAF_1	JIF3	HDI3	ASIA
FFA_2	LFA_1	CAF_1	JIF3	HDI1	NORTH-AMERICA
FFA_1	LFA_2	CAF_1	JIF1	HDI1	NORTH-AMERICA
FFA_1	LFA_1	CAF_1	JIF2	HDI1	NORTH-AMERICA
FFA_2	LFA_2	CAF_2	JIF4	HDI1	NORTH-AMERICA
FFA_1	LFA_1	CAF_1	JIF2	HDI1	NORTH-AMERICA
FFA_2	LFA_1	CAF_1	JIF1	HDI1	NORTH-AMERICA
FFA_1	LFA_1	CAF_2	JIF2	HDI1	NORTH-AMERICA
FFA_1	LFA_1	CAF_1	JIF1	HDI1	NORTH-AMERICA
FFA_1	LFA_1	CAF_1	JIF1	HDI1	NORTH-AMERICA
FFA_1	LFA_2	CAF_1	JIF3	HDI1	NORTH-AMERICA
FFA_1	LFA_2	CAF_1	JIF4	HDI1	NORTH-AMERICA
FFA_1	LFA_1	CAF_1	JIF2	HDI1	NORTH-AMERICA
FFA_2	LFA_1	CAF_2	JIF4	HDI1	NORTH-AMERICA
FFA_1	LFA_2	CAF_1	JIF1	HDI1	NORTH-AMERICA
