Variable	Sujeto_1	Sujeto_2	Sujeto_3	Sujeto_4	Sujeto_5	Sujeto_6	Sujeto_7	Sujeto_8	Sujeto_9	Sujeto_10	Sujeto_11
Sujeto	1	2	3	4	5	6	7	8	9	10	11
P1_2	6,8	5,9	7,1	7,5	6,6	5,2	5,8	6,2	7,5	6,0	9,2
P1_3	12,5	11,1	10,2	10,3	10,5	9,4	10,5	10,8	9,1	9,4	10,8
P2_3	5,4	4,9	5,7	6,9	5,5	6,2	4,9	7,5	4,4	7,1	5,5
P1_4	13,8	18,8	11,1	10,7	10,2	11,4	13,4	9,9	10,2	9,5	9,7
P2_4	8,3	10,6	11,5	8,5	9,6	11,2	12,2	8,9	7,9	9,5	8,2
P3_4	5,2	4,8	6,7	4,9	7,2	5,6	4,6	6,3	5,7	7,6	4,6
P1_5	14,2	17,3	12,5	11,6	9,6	13,3	14,0	11,1	12,1	9,5	10,1
P2_5	10,4	14,3	10,7	10,7	9,3	13,5	14,8	10,7	10,4	9,5	9,4
P3_5	7,2	8,3	8,9	6,6	8,3	8,2	8,3	8,7	8,3	8,9	6,7
P4_5	3,7	3,6	3,7	3,5	4,7	4,0	3,5	3,9	3,9	3,8	3,7
P1_6	12,5	16,6	11,8	10,6	10,8	12,0	13,2	10,3	12,5	9,8	10,3
P2_6	11,6	16,6	11,8	11,1	9,9	12,9	14,6	10,8	11,2	9,9	10,1
P3_6	9,5	13,2	9,4	8,7	9,3	9,6	10,7	9,6	10,2	9,8	9,8
P4_6	5,9	5,3	5,9	6,3	6,2	5,8	4,7	6,8	6,5	5,3	6,6
P5_6	4,2	3,5	3,6	4,1	3,3	3,8	3,6	5,0	4,6	4,8	4,0
P1_7	11,0	16,5	9,9	9,7	9,7	12,3	11,7	8,8	9,7	8,7	9,7
P2_7	13,8	17,3	11,2	12,2	11,7	12,0	14,1	10,6	12,6	10,6	10,5
P3_7	11,3	14,6	11,3	10,6	11,3	12,7	12,8	10,1	11,3	10,5	11,3
P4_7	10,1	8,2	10,3	7,8	8,9	6,8	8,8	9,4	8,7	7,3	8,7
P5_7	6,9	6,8	8,2	6,5	6,3	5,4	6,9	8,3	7,8	6,2	7,5
P6_7	4,3	3,8	5,1	5,0	4,2	3,6	4,1	4,3	6,3	4,7	5,4
P1_8	8,6	8,3	8,6	8,4	8,5	10,6	10,2	7,6	9,8	6,7	9,0
P2_8	14,3	14,5	12,5	10,8	11,6	11,5	13,4	10,4	11,4	10,6	10,8
P3_8	13,5	16,1	12,5	11,7	11,9	13,7	14,1	10,8	12,2	10,7	11,9
P4_8	11,1	14,5	11,6	10,4	10,3	9,3	11,0	9,7	10,3	7,6	10,6
P5_8	10,2	11,0	9,8	8,6	9,1	7,9	9,4	9,0	9,9	8,2	9,9
P6_8	6,8	7,4	8,1	7,4	8,9	5,6	6,9	7,3	9,6	6,7	9,3
P7_8	4,8	5,7	4,9	5,9	6,6	4,2	4,1	4,9	4,8	4,5	5,6
P1_9	5,5	5,7	4,3	5,8	4,9	4,9	6,4	5,8	8,3	4,9	6,6
P2_9	11,8	9,5	9,2	9,9	10,3	8,2	9,7	9,0	11,3	8,5	11,2
P3_9	14,6	14,0	11,9	11,1	11,8	13,4	12,9	11,7	11,9	9,7	11,5
P4_9	12,3	17,0	10,9	11,6	11,6	10,5	11,8	10,4	10,7	9,2	10,0
P5_9	12,1	15,8	11,3	10,0	11,1	9,9	12,4	10,9	11,2	9,1	10,9
P6_9	9,9	13,8	10,2	9,1	9,4	9,0	10,6	9,0	10,6	8,8	9,9
P7_9	7,4	10,9	8,7	8,7	8,9	8,2	10,0	7,2	6,8	7,2	8,2
P8_9	4,5	5,0	6,3	5,6	5,8	5,1	4,1	4,7	4,6	4,0	5,3
P1_10	3,5	4,2	2,9	3,6	3,5	3,5	3,5	3,0	6,7	4,1	4,6
P2_10	8,9	7,3	8,2	8,0	8,0	6,3	7,9	7,5	10,4	7,9	10,5
P3_10	14,1	13,8	10,5	12,0	11,5	11,7	10,9	9,4	10,7	10,2	10,2
P4_10	12,5	17,3	11,5	11,3	10,2	12,2	11,7	9,7	12,6	10,1	7,7
P5_10	11,2	15,8	11,1	10,8	10,4	13,2	13,7	9,6	11,6	9,7	10,6
P6_10	10,7	15,1	10,6	10,7	10,6	10,4	12,2	8,8	11,6	9,9	9,7
P7_10	8,7	13,9	9,7	9,6	9,2	9,8	11,1	7,6	9,1	6,8	9,7
P8_10	6,1	6,0	7,5	6,7	7,3	6,8	6,9	5,6	7,4	5,3	6,3
P9_10	3,6	3,5	3,0	3,5	2,9	3,8	3,4	3,5	5,2	3,4	3,4
